Catégorie : Toutes catégories

Semaine,Facebook: (Somalie),Twitter: (Somalie)
2018-01-14,99,7
2018-01-21,100,10
2018-01-28,100,7
2018-02-04,98,10
2018-02-11,95,8
2018-02-18,87,10
2018-02-25,92,8
2018-03-04,94,8
2018-03-11,81,8
2018-03-18,84,9
2018-03-25,71,9
2018-04-01,71,9
2018-04-08,77,15
2018-04-15,78,6
2018-04-22,79,11
2018-04-29,70,10
2018-05-06,79,8
2018-05-13,80,6
2018-05-20,68,8
2018-05-27,84,9
2018-06-03,87,7
2018-06-10,77,8
2018-06-17,68,7
2018-06-24,70,6
2018-07-01,74,8
2018-07-08,71,10
2018-07-15,67,8
2018-07-22,70,8
2018-07-29,79,7
2018-08-05,63,6
2018-08-12,68,8
2018-08-19,64,7
2018-08-26,67,7
2018-09-02,68,9
2018-09-09,66,11
2018-09-16,58,4
2018-09-23,58,4
2018-09-30,61,7
2018-10-07,46,6
2018-10-14,53,7
2018-10-21,49,9
2018-10-28,48,10
2018-11-04,55,10
2018-11-11,49,9
2018-11-18,56,7
2018-11-25,61,8
2018-12-02,56,7
2018-12-09,56,9
2018-12-16,48,11
2018-12-23,58,10
2018-12-30,53,10
2019-01-06,48,3
